blkgrp,area_median_income,ht_rent
'240178501012',89826,64.129565
'240178501021',89826,54.7597675
'240178501022',89826,51.76820125
'240178502011',89826,71.70039875
'240178502021',89826,51.73671125
'240178502022',89826,52.96060625
'240178502023',89826,52.87658625
'240178503001',89826,58.0481625
'240178503002',89826,54.34917
'240178504001',89826,58.52071
'240178504002',89826,51.9116725
'240178504003',89826,55.09040875
'240178505001',89826,53.16302
'240178505002',89826,48.1201125
'240178506001',89826,72.81038
'240178506002',89826,73.41902375
'240178506003',89826,86.37461375
'240178507061',89826,74.99881875
'240178507062',89826,65.282925
'240178507081',89826,75.38437625
'240178507082',89826,84.69220375
'240178507091',89826,71.8705075
'240178507092',89826,55.27284
'240178507093',89826,55.93492625
'240178507101',89826,74.8084575
'240178507102',89826,71.858315
'240178507111',89826,52.2467125
'240178507112',89826,56.8922575
'240178507113',89826,72.971055
'240178507121',89826,64.5867825
'240178507122',89826,73.56820375
'240178507131',89826,64.439445
'240178507132',89826,67.7910475
'240178508011',89826,85.285595
'240178508012',89826,61.73560125
'240178508013',89826,84.7685775
'240178508014',89826,65.01280375
'240178508021',89826,55.289025
'240178508022',89826,54.21702375
'240178508023',89826,57.303705
'240178509011',89826,53.381255
'240178509012',89826,43.771715
'240178509013',89826,51.12541375
'240178509021',89826,58.56325875
'240178509022',89826,67.37787
'240178509023',89826,66.61900125
'240178509041',89826,64.9551125
'240178509042',89826,67.26665
'240178509051',89826,60.229595
'240178509052',89826,57.1743225
'240178509061',89826,50.79896375
'240178509062',89826,53.5338675
'240178509063',89826,55.76179125
'240178510011',89826,60.71311375
'240178510012',89826,54.25020625
'240178510021',89826,54.8797275
'240178510022',89826,53.5859125
'240178510023',89826,57.2891275
'240178510024',89826,52.35133875
'240178510025',89826,65.67261625
'240178510026',89826,63.258795
'240178511001',89826,42.51993875
'240178511002',89826,50.74752125
'240178512001',89826,61.7839225
'240178512002',89826,56.397205
'240178512003',89826,55.42370875
'240178512004',89826,55.760805
'240178513011',89826,58.32495625
'240178513012',89826,55.034815
'240178513022',89826,51.3121875
'240178513023',89826,50.68667
'240178514001',89826,77.54893125
'240178514002',89826,60.10112625
'240178514003',89826,41.93982
'240178514004',89826,38.98435875
'240178515001',89826,61.688955
'240178515002',89826,63.32875875
'240178515003',89826,56.90456625
'240217402001',89826,60.3560825
'240217402002',89826,50.82271625
'240217402003',89826,71.1089875
'240217402004',89826,70.54014
'240217501001',89826,49.2492025
'240217501002',89826,48.16512375
'240217502001',89826,50.32231875
'240217502002',89826,50.4364025
'240217503001',89826,49.6071425
'240217503002',89826,48.85633125
'240217505031',89826,58.71060375
'240217505032',89826,47.98764625
'240217505033',89826,50.43865125
'240217505034',89826,51.344085
'240217505035',89826,47.58804375
'240217505041',89826,49.331355
'240217505042',89826,53.55104625
'240217505043',89826,54.80334875
'240217505044',89826,58.19070375
'240217505051',89826,50.07524125
'240217505052',89826,60.565055
'240217505053',89826,51.20432875
'240217505061',89826,68.14082375
'240217505062',89826,51.6081175
'240217505063',89826,64.22856
'240217506001',89826,52.42772375
'240217506002',89826,61.26757875
'240217506003',89826,48.38165875
'240217507011',89826,72.19457875
'240217507012',89826,54.22084
'240217507013',89826,62.16135375
'240217507021',89826,45.173265
'240217507022',89826,45.59918875
'240217507023',89826,58.70236125
'240217508011',89826,48.50076375
'240217508012',89826,48.20767875
'240217508013',89826,43.59046125
'240217508021',89826,66.31803375
'240217508022',89826,81.23022125
'240217508023',89826,57.0161575
'240217508031',89826,68.7547625
'240217508032',89826,45.52415375
'240217508033',89826,72.76329125
'240217510011',89826,57.10123375
'240217510021',89826,56.1735075
'240217510022',89826,49.51119
'240217510023',89826,55.6027725
'240217510024',89826,57.38723375
'240217510031',89826,52.45797125
'240217510032',89826,53.2612425
'240217510033',89826,48.5022975
'240217510041',89826,43.45061625
'240217510042',89826,56.743525
'240217512011',89826,61.5422425
'240217512012',89826,57.0478875
'240217512013',89826,85.87668
'240217512021',89826,55.7300575
'240217512022',89826,63.45096
'240217512023',89826,57.0451075
